timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
38,-99.29,38,0,0,1,7.077,0.0,4297.8,0.6537
161,-99.21,123,0,0,1,7.724,0.0244,1557.8,0.7025
268,-100.68,107,0,0,1,5.34,0.0,680.5,0.6135
284,-99.8,16,0,0,1,13.669,0.0,1562.4,0.6715
310,-101.04,26,0,0,1,6.351,0.0,2108.0,0.7804
353,-100.18,43,0,0,1,6.306,0.0,4161.8,0.601
383,-96.99,30,0,0,1,13.349,0.0,2356.0,0.6718
546,-102.58,163,0,0,1,4.285,0.0,643.0,0.6822
603,-100.38,57,0,0,1,5.117,0.0,1712.0,0.6875
697,-98.76,94,0,0,1,8.017,0.0,3212.6,0.6842
758,-99.72,61,0,0,1,6.266,0.0,4196.9,0.7075
843,-99.02,85,0,0,1,6.819,0.0,3766.1,0.6976
860,-130.27,17,1,0,1,11.578,0.0,5006.5,0.6731
915,-99.35,55,0,0,1,6.247,0.0,1072.3,0.6841
933,-98.04,18,0,0,1,13.084,0.0,2956.7,0.485
1031,-101.29,98,0,0,1,6.964,0.0408,1567.2,0.678
1077,-101.1,46,0,0,1,4.739,0.0,1101.0,0.7162
1115,-98.94,38,0,0,1,11.677,0.0789,3418.5,0.7159
1129,-100.38,14,0,0,1,10.843,0.0,1567.2,0.6323
1171,-98.93,42,0,0,1,8.394,0.0,2987.2,0.6509
1232,-94.42,61,0,0,1,15.713,0.0984,1575.8,0.6531
1296,-100.4,64,0,0,1,6.649,0.0312,873.7,0.772
1335,-99.1,39,0,0,1,7.472,0.0,3823.0,0.7604
1394,-100.26,59,0,0,1,5.45,0.0,2227.4,0.6128
1425,-100.17,31,0,0,1,6.238,0.0,3495.0,0.6483
1476,-100.67,51,0,0,1,5.237,0.0,3457.4,0.7514
1509,-100.68,33,0,0,1,7.103,0.0,4825.8,0.6936
1586,-100.5,77,0,0,1,5.068,0.0,2210.7,0.5517
1606,-96.63,20,0,0,1,9.953,0.0,1230.3,0.5814
1755,-96.69,149,0,0,1,7.773,0.0,3477.8,0.7011
1878,-96.82,123,0,0,1,6.584,0.0,4965.7,0.6716
1953,-102.4,75,0,0,1,3.514,0.0,4906.1,0.6916
1973,-99.82,20,0,0,1,7.429,0.0,4432.8,0.6021
1994,-98.32,21,0,0,1,15.961,0.0,3534.8,0.6639
2028,-96.95,34,0,0,1,12.281,0.0,2017.8,0.4231
2164,-101.35,136,0,0,1,4.86,0.0,2144.1,0.7427
2271,-101.65,107,0,0,1,4.483,0.0,295.5,0.7614
2398,-103.82,127,0,0,1,3.357,0.0,1074.5,0.7116
2477,-98.05,79,0,0,1,7.452,0.0,1782.5,0.6304
2633,-98.32,156,0,0,1,6.328,0.0,1954.9,0.7106
2693,-102.64,60,0,0,1,3.723,0.0,3035.7,0.6887
2733,-97.27,40,0,0,1,15.71,0.125,2766.0,0.7096
2777,-101.47,44,0,0,1,5.112,0.0,3531.0,0.5537
2865,-98.83,88,0,0,1,7.68,0.0227,4671.0,0.6644
2887,-99.22,22,0,0,1,11.043,0.0,4489.0,0.6846
2948,-99.17,61,0,0,1,7.857,0.0,4005.9,0.6996
2986,-100.52,38,0,0,1,5.218,0.0,4941.3,0.6234
3056,-101.89,70,0,0,1,3.736,0.0,1646.8,0.7023
3152,-96.17,96,0,0,1,8.55,0.0,4778.5,0.7217
3243,-97.76,91,0,0,1,7.424,0.0,4840.0,0.6251
3327,-102.8,84,0,0,1,2.453,0.0,1228.8,0.6691
3406,-99.46,79,0,0,1,5.912,0.0,2500.5,0.609
3484,-101.57,78,0,0,1,4.642,0.0,3030.4,0.6293
3536,-102.39,52,0,0,1,3.94,0.0,3534.8,0.698
3578,-101.68,42,0,0,1,3.686,0.0,3554.8,0.7305
3641,-100.58,63,0,0,1,4.794,0.0,613.1,0.6772
3679,-99.66,38,0,0,1,6.308,0.0,2471.5,0.5951
3727,-101.22,48,0,0,1,4.162,0.0,567.5,0.5884
3748,-97.96,21,0,0,1,13.284,0.0,4891.1,0.6501
3821,-98.73,73,0,0,1,3.947,0.0,1186.6,0.7051
3839,-99.41,18,0,0,1,9.339,0.0,2278.0,0.5958
3893,-101.85,54,0,0,1,3.96,0.0,4518.4,0.741
3931,-99.59,38,0,0,1,6.252,0.0,2736.7,0.738
