timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
37,-97.59,37,0,0,1,9.566,0.0,2486.0,0.6728
76,-99.0,39,0,0,1,6.683,0.0,2677.1,0.6833
168,-100.49,92,0,0,1,4.329,0.0,3886.2,0.5475
225,-102.61,57,0,0,1,2.756,0.0,4822.0,0.7272
296,-99.4,71,0,0,1,5.285,0.0,238.5,0.6527
368,-100.31,72,0,0,1,4.24,0.0,814.3,0.6584
482,-97.75,114,0,0,1,5.995,0.0,4328.4,0.6113
544,-102.67,62,0,0,1,2.796,0.0,4820.1,0.6832
576,-95.53,32,0,0,1,16.697,0.0625,1410.8,0.773
629,-100.74,53,0,0,1,3.989,0.0,1611.3,0.5567
757,-97.1,128,0,0,1,6.496,0.0078,4606.8,0.7421
781,-97.34,24,0,0,1,13.385,0.0,2194.9,0.6478
834,-99.94,53,0,0,1,4.945,0.0,1484.6,0.6525
868,-98.16,34,0,0,1,7.875,0.0,4255.7,0.6138
967,-98.56,99,0,0,1,5.337,0.0,1455.9,0.7169
1025,-101.83,58,0,0,1,3.665,0.0,2106.8,0.6491
1038,-98.56,13,0,0,1,13.151,0.0,3289.2,0.5841
1098,-101.08,60,0,0,1,3.534,0.0,2883.7,0.6618
1198,-96.29,100,0,0,1,7.233,0.0,628.2,0.5647
1242,-100.1,44,0,0,1,4.984,0.0,167.8,0.7648
1282,-99.22,40,0,0,1,6.498,0.0,4446.3,0.6155
1328,-96.02,46,0,0,1,12.316,0.0217,3912.3,0.6995
1353,-97.79,25,0,0,1,11.832,0.0,4301.7,0.6791
1389,-99.22,36,0,0,1,7.744,0.0278,2843.4,0.7638
1407,-97.7,18,0,0,1,15.668,0.0,4197.3,0.7535
1457,-95.66,50,0,0,1,10.89,0.0,1754.3,0.5998
1480,-97.98,23,0,0,1,11.628,0.0,2338.8,0.6879
1509,-98.97,29,0,0,1,8.424,0.0,4033.0,0.6974
1681,-90.8,172,0,0,1,8.636,0.0,1000.4,0.6715
1702,-100.6,21,0,0,1,7.602,0.0,1562.4,0.808
1739,-99.96,37,0,0,1,6.019,0.0,683.1,0.6338
1812,-97.42,73,0,0,1,7.141,0.0,2404.3,0.5871
1874,-98.56,62,0,0,1,7.503,0.0,4993.9,0.7087
1910,-96.67,36,0,0,1,12.682,0.0,789.6,0.763
1999,-99.62,89,0,0,1,5.155,0.0,2038.9,0.6368
2055,-99.98,56,0,0,1,6.084,0.0,2120.1,0.6013
2108,-96.94,53,0,0,1,9.467,0.0,4682.5,0.6956
2133,-95.16,25,0,0,1,15.272,0.0,1190.6,0.6423
2219,-97.01,86,0,0,1,7.29,0.0,2708.0,0.7009
2252,-97.74,33,0,0,1,10.105,0.0,1428.4,0.6009
2317,-100.62,65,0,0,1,3.874,0.0,127.1,0.6671
2374,-96.81,57,0,0,1,9.295,0.0,3886.5,0.6422
2446,-94.66,72,0,0,1,10.786,0.0139,496.2,0.6513
2525,-99.6,79,0,0,1,6.225,0.0,1562.4,0.6573
2569,-96.05,44,0,0,1,11.78,0.0,2664.7,0.6349
2639,-98.27,70,0,0,1,6.556,0.0,2580.0,0.5981
2798,-99.86,159,0,0,1,4.716,0.0,774.6,0.6751
2825,-99.23,27,0,0,1,8.604,0.0,4971.4,0.6385
2879,-99.43,54,0,0,1,5.101,0.0,3823.0,0.6123
2974,-124.34,95,1,0,1,8.555,0.0,5041.5,0.758
3018,-100.46,44,0,0,1,6.022,0.0,1562.4,0.5592
3059,-96.59,41,0,0,1,11.622,0.0244,2912.3,0.7928
3118,-100.86,59,0,0,1,3.671,0.0,4731.3,0.6302
3171,-98.59,53,0,0,1,6.722,0.0,1524.6,0.6314
3329,-98.5,158,0,0,1,5.096,0.0,3823.0,0.6598
3359,-99.64,30,0,0,1,18.69,0.3333,960.0,0.8581
3418,-98.35,59,0,0,1,6.399,0.0,1697.8,0.6339
3523,-127.57,105,1,0,1,6.635,0.0,5016.0,0.649
3599,-102.38,76,0,0,1,3.418,0.0,1562.4,0.6561
3786,-100.24,187,0,0,1,4.243,0.0,799.7,0.674
3861,-100.43,75,0,0,1,4.009,0.0,2194.9,0.6983
3895,-100.52,34,0,0,1,6.101,0.0,3216.6,0.6584
3938,-94.55,43,0,0,1,18.172,0.1163,2486.0,0.7324
3973,-96.91,35,0,0,1,12.542,0.0,4003.8,0.7415
4021,-99.06,48,0,0,1,6.409,0.0,1880.8,0.5561
4106,-97.95,85,0,0,1,5.664,0.0,3278.3,0.6728
4145,-99.1,39,0,0,1,6.407,0.0,3954.6,0.4646
4173,-99.59,28,0,0,1,6.86,0.0,4682.5,0.7071
4207,-100.34,34,0,0,1,5.781,0.0,2156.5,0.5179
4252,-93.69,45,0,0,1,15.277,0.0,343.1,0.7154
4388,-102.99,136,0,0,1,2.972,0.0,3677.2,0.7161
4420,-97.14,32,0,0,1,11.376,0.0,2809.6,0.7221
4521,-102.63,101,0,0,1,2.979,0.0,4480.4,0.7054
4711,-93.38,190,0,0,1,7.41,0.0,2637.3,0.683
4860,-99.34,149,0,0,1,4.934,0.0,2017.9,0.709
4885,-98.68,25,0,0,1,10.376,0.0,360.9,0.7431
4966,-98.78,81,0,0,1,7.889,0.037,2430.0,0.7
5052,-100.27,86,0,0,1,4.34,0.0,3328.2,0.6992
5083,-97.04,31,0,0,1,11.322,0.0,3969.4,0.5965
5184,-98.37,101,0,0,1,6.094,0.0099,4463.2,0.6859
5228,-100.12,44,0,0,1,5.764,0.0,1154.9,0.6187
5280,-100.15,52,0,0,1,4.798,0.0,3095.4,0.5596
5333,-100.2,53,0,0,1,5.191,0.0,4115.0,0.809
5498,-98.55,165,0,0,1,5.518,0.0,1557.8,0.6049
5519,-97.17,21,0,0,1,15.331,0.0,1772.4,0.5671
5532,-98.88,13,0,0,1,13.962,0.0,4268.0,0.7555
5571,-101.25,39,0,0,1,4.709,0.0,3030.4,0.5614
5679,-92.58,108,0,0,1,9.757,0.0,2856.1,0.6707
5772,-100.65,93,0,0,1,4.51,0.0,3520.1,0.6783
5811,-99.68,39,0,0,1,5.856,0.0,2664.1,0.4835
5875,-130.15,64,1,0,1,7.0,0.0,5046.6,0.61
5917,-99.88,42,0,0,1,5.285,0.0,3828.1,0.5271
5996,-98.69,79,0,0,1,5.932,0.0,2934.2,0.6462
6025,-99.69,29,0,0,1,6.819,0.0,4172.6,0.6322
6079,-100.46,54,0,0,1,4.334,0.0,404.2,0.602
6171,-102.31,92,0,0,1,3.499,0.0,3534.8,0.5925
6270,-100.38,99,0,0,1,4.309,0.0,3910.4,0.6599
6293,-97.0,23,0,0,1,15.208,0.0,4049.3,0.5481
6354,-97.69,61,0,0,1,7.683,0.0,4541.7,0.6647
6399,-99.48,45,0,0,1,5.283,0.0,1059.4,0.4828
6429,-96.6,30,0,0,1,16.714,0.0667,2995.7,0.7632
6504,-98.61,75,0,0,1,6.476,0.0,4149.8,0.7646
6572,-100.83,68,0,0,1,3.484,0.0,1842.2,0.7002
6620,-98.69,48,0,0,1,6.96,0.0,1076.7,0.6027
6720,-98.16,100,0,0,1,5.813,0.0,2573.2,0.7115
6742,-98.71,22,0,0,1,10.225,0.0,475.3,0.7178
6790,-98.16,48,0,0,1,3.985,0.0,1228.8,0.5846
6848,-97.49,58,0,0,1,7.8,0.0,4437.8,0.6675
6897,-95.81,49,0,0,1,12.287,0.0,3529.2,0.6314
6922,-96.02,25,0,0,1,16.228,0.0,4458.6,0.6079
6963,-99.52,41,0,0,1,5.61,0.0,4297.8,0.6468
7014,-100.05,51,0,0,1,5.542,0.0,4500.3,0.7803
7025,-98.69,11,0,0,1,17.433,0.0,1602.3,0.6779
7149,-97.9,124,0,0,1,5.968,0.0,2560.4,0.6575
7228,-96.08,79,0,0,1,7.178,0.0,3320.7,0.7476
7272,-95.06,44,0,0,1,15.143,0.0,1562.4,0.6589
7309,-99.46,37,0,0,1,5.863,0.0,4709.9,0.506
7354,-101.0,45,0,0,1,3.867,0.0,43.7,0.6464
7370,-99.06,16,0,0,1,11.123,0.0,4268.0,0.5363
7480,-97.34,110,0,0,1,6.228,0.0,3430.7,0.6702
7502,-98.45,22,0,0,1,10.76,0.0,1357.0,0.8472
7598,-97.12,96,0,0,1,6.982,0.0,3740.6,0.7573
7619,-100.05,21,0,0,1,8.598,0.0,2113.4,0.4016
7672,-100.88,53,0,0,1,5.293,0.0377,4282.8,0.7963
